node,HC-PD,HC-PR,HC-SW
1,26,26,22,5
2,28,24,8
3,-7,-39,-15
4,-27,-6,5,8
5,-16,42,-5
6,17,5,-27,5,27,5
7,32,5,1,5,17,5
8,2,5,-6,-26,5
9,-20,-40,-24
10,45,5,-26,38
11,-57,5,-5,5,47,5
12,57,29,31,5
13,6,-21,43
14,18,-6,69
15,-44,-48,-59
16,21,-66,-27,5
17,-27,-47,-39
18,-59,-21,-49
19,20,44,17
20,51,49,14,5
21,4,-5,32
22,18,33,66,5
23,-12,5,-42,10
24,-1,-4,41
25,2,1,52,5
26,6,5,19,30
27,38,-33,2
28,-12,36,-1
29,-29,-32,-79
30,33,-68,-54
31,6,33,14,5
32,5,-5,30,5
33,86,13,66
34,92,38,5,78
35,58,73,27
36,-53,13,-61
37,-30,5,5,-53
38,-59,-49,-77
39,-64,-42,-41,5
40,-89,-13,-1
41,12,-4,27
42,-14,-38,-5
43,-36,5,-14,5,14,5
44,-79,-20,-31,5
45,54,-15,5,-41
46,-8,-58,5,-63
47,12,-10,22
48,-48,5,10,5,-30
49,11,5,59,5,-17,5
50,65,5,5,-1,5
51,16,5,2,51
52,-42,20,-36
53,-29,47,-17
54,-18,-37,29
55,11,-47,13
56,-24,-2,-1
57,-44,5,0,-5,5
58,0,13,5,13,5
59,33,75,91
60,99,100,102
61,16,-44,5,34
62,48,79,85,5
63,-33,5,-3,5,-34,5
64,11,7,5,-30,5
65,-82,-69,-90
66,48,55,-14
67,10,-33,5,32
68,48,48,57
69,19,72,71
70,62,56,5,84
71,-20,-47,5,-2
72,11,11,57,5
73,-3,5,-25,4
74,22,-29,-72
75,-10,-22,5,17,5
76,1,5,-14,5,-20,5
77,-66,-18,-75
78,3,5,9,-75
79,63,0,21
80,-17,-41,-20
81,-3,-69,-36
82,9,-26,-50
83,-27,-80,5,-89
84,8,5,-5,5,-65
85,-18,-66,-18
86,12,48,5,52
87,-34,5,-40,5,-23,5
88,4,52,31,5
89,-32,1,-47
90,-61,-23,-78
91,-57,-52,-20
92,-29,-87,-15
93,-36,5,-49,-8,5
94,-59,-20,-18
95,72,53,-6,5
96,48,5,63,5,26,5
97,9,5,8,8,5
98,23,0,5,-3
99,8,-70,-58
100,-12,8,-23
101,-16,5,86,5,14,5
102,5,60,5,0
103,40,27,15
104,-68,-37,31
105,8,84,55
106,-12,68,49
107,-3,78,-9
108,-16,-19,-40
109,40,5,65,0
110,20,5,16,5,-11,5
111,59,5,37,-12
112,11,5,-24,43
113,-40,-71,-42
114,-46,52,5,-33
115,25,32,5,-4
116,-1,-1,27,5
